Date,Start Time,End Time,Arrival Time,Short Label,Event Type,Division,Home Team,Away Team,Location,Location Details
09/07/2025,5:15 PM,6:15 PM,,Ottawa Ice - U14A - Croatto & Ottawa Ice - U16A - Stachon Tryout @ Walkley,Tryout,,Ottawa Ice - U14A - Croatto,,Walkley: Walkley,https://www.google.com/maps/place/1264+Walkley+Rd. +Ottawa +ON+K1V+6P9
09/07/2025,5:15 PM,6:15 PM,,Ottawa Ice - U14A - Croatto & Ottawa Ice - U16A - Stachon Tryout @ Walkley,Tryout,,Ottawa Ice - U16A - Stachon,,Walkley: Walkley,https://www.google.com/maps/place/1264+Walkley+Rd. +Ottawa +ON+K1V+6P9
09/06/2025,10:15 AM,11:15 AM,,Ottawa Ice - U14AA - Gore & Ottawa Ice - U14A - Croatto Practice @ Walkley,Practice,,Ottawa Ice - U14AA - Gore,,Walkley: Walkley,https://www.google.com/maps/place/1264+Walkley+Rd. +Ottawa +ON+K1V+6P9
09/06/2025,10:15 AM,11:15 AM,,Ottawa Ice - U14AA - Gore & Ottawa Ice - U14A - Croatto Practice @ Walkley,Practice,,Ottawa Ice - U14A - Croatto,,Walkley: Walkley,https://www.google.com/maps/place/1264+Walkley+Rd. +Ottawa +ON+K1V+6P9
09/02/2025,6:00 PM,7:00 PM,,Sortouts - U12A Sortout @ Brewer,Sortout,,Sortouts - U12A,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
09/02/2025,7:00 PM,8:00 PM,,Sortouts - U12A Sortout @ Brewer,Sortout,,Sortouts - U12A,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
09/01/2025,2:15 PM,3:15 PM,,Fall warm-ups Other @ Richcraft-HEO,Other,,Fall warm-ups,,Richcraft-HEO: Richcraft-HEO,https://www.google.com/maps/place/813+Shefford+Road +Ottawa +ON+K1J+8H9
09/01/2025,3:15 PM,4:15 PM,,Fall warm-ups Other @ Richcraft-HEO,Other,,Fall warm-ups,,Richcraft-HEO: Richcraft-HEO,https://www.google.com/maps/place/813+Shefford+Road +Ottawa +ON+K1J+8H9
09/05/2025,6:15 PM,7:15 PM,,Tryouts-U19A Tryout @ Walkley,Tryout,,Tryouts-U19A,,Walkley: Walkley,https://www.google.com/maps/place/1264+Walkley+Rd. +Ottawa +ON+K1V+6P9
09/05/2025,8:00 PM,9:00 PM,,Ottawa Ice - U16AA - Frechette Practice @ RayFriel 2,Practice,,Ottawa Ice - U16AA - Frechette,,RayFriel 2: RayFriel 2,https://www.google.com/maps/place/1585+Tenth+Line+Rd +Ottawa +ON+K1E+3E8
09/05/2025,8:00 PM,9:00 PM,,Ottawa Ice - U16A - Stachon & Ottawa Ice - U14AA - Gore Practice @ Dulude,Practice,,Ottawa Ice - U16A - Stachon,,Dulude: Dulude,https://www.google.com/maps/place/941+Clyde+Ave +Ottawa +ON+K2C+4B2
09/05/2025,8:00 PM,9:00 PM,,Ottawa Ice - U16A - Stachon & Ottawa Ice - U14AA - Gore Practice @ Dulude,Practice,,Ottawa Ice - U14AA - Gore,,Dulude: Dulude,https://www.google.com/maps/place/941+Clyde+Ave +Ottawa +ON+K2C+4B2
09/02/2025,8:00 PM,9:00 PM,,Ottawa Ice - U16AA - Frechette Practice @ Brewer,Practice,,Ottawa Ice - U16AA - Frechette,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
09/06/2025,4:00 PM,5:00 PM,,Goalie Clinic - Junior Practice @ Barbara Anne Scott,Other,,Goalie Clinic - Junior,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/06/2025,5:00 PM,6:00 PM,,Goalie Clinic - Intermediate Practice @ Barbara Anne Scott,Other,,Goalie Clinic - Intermediate,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/06/2025,6:00 PM,7:00 PM,,Goalie Clinic - Senior Practice @ Barbara Anne Scott,Other,,Goalie Clinic - Senior,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/06/2025,7:00 PM,8:00 PM,,Power Skating - FUN2/3 Practice @ Barbara Anne Scott,Other,,Power Skating - FUN2/3,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/06/2025,8:00 PM,9:00 PM,,Power Skating - FUN3 Practice @ Barbara Anne Scott,Other,,Power Skating - FUN3,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/06/2025,9:00 PM,10:00 PM,,Power Skating - U12A/B Practice @ Barbara Anne Scott,Other,,Power Skating - U12A/B,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/06/2025,10:00 PM,11:00 PM,,Power Skating - U12B/C Practice @ Barbara Anne Scott,Other,,Power Skating - U12B/C,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/07/2025,7:30 PM,8:30 PM,,Power Skating - U14AA/A Practice @ Barbara Anne Scott,Other,,Power Skating - U14AA/A,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/07/2025,8:30 PM,9:30 PM,,Power Skating - U14B Practice @ Barbara Anne Scott,Other,,Power Skating - U14B,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/07/2025,9:30 PM,10:30 PM,,Power Skating - U14C/U16C Practice @ Barbara Anne Scott,Other,,Power Skating - U14C/U16C,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/07/2025,10:30 PM,11:30 PM,,Power Skating - U16AA/A Practice @ Barbara Anne Scott,Other,,Power Skating - U16AA/A,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/07/2025,7:20 PM,8:20 PM,,Power Skating - U16B Practice @ Barbara Anne Scott,Other,,Power Skating - U16B,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
09/07/2025,4:30 PM,5:30 PM,,BURN Practice @ Barbara Anne Scott,Other,,BURN,,Barbara Anne Scott: Barbara Ann Scott,https://www.google.com/maps/place/2250+Torquay+Ave +Ottawa +ON+K2C+1J3
